"","Jour","Entreprises ","PME/PMI","Professionnels","Résidentiels","Total"
"300",2021-01-15,"14121880244.0",2655650468,1075735,133313852,54819164044
"301",2021-01-25,"14009458212.0",2711319578,982552,139620426,55321403131
"302",2021-01-27,"14554063105.0",2656365539,918602,140079592,55289414357
"303",2021-01-28,"14142356173.0",2456678364,933928,111812631,49219955899
"304",2021-01-29,"13426472964.0",2301197535,882495,104948543,46389764964
"305",2021-02-06,"10058326013.0",1841790379,736623,115045007,42370385067
"306",2021-02-07,"9395052071.0",1810688918,774305,130926569,44319955048
"307",2021-02-08,"13858794951.0",2655801836,1065242,142105149,54068351432
"308",2021-02-11,"14723508180.0",2832230174,1177502,166470825,59869373272
"309",2021-02-13,"11068547927.0",2385664590,1063043,182423507,57061856681
"310",2021-03-02,"13566834212.0",2242258811,789603,103813843,44517335344
"311",2021-03-10,"13926586940.0",2392072360,888140,128412585,48563540398
"312",2021-03-13,"9938571879.0",1838453993,747188,120644265,41259874592
"313",2021-03-24,"13553702705.0",2230466878,741363,109885096,43949336318
"314",2021-03-28,"8794752852.0",1533720257,1683344,103230080,36020795678
"315",2021-04-07,"13662306343.0",2315162236,1714444,120916070,46899949288
"316",2021-04-08,"13519310626.0",2222988383,1665859,111478130,44849850536
"317",2021-04-10,"9630672770.0",1640905229,1559336,104565754,37232185868
"318",2021-04-11,"8813722332.0",1546862317,1524987,113038733,37427873125
"319",2021-04-20,"13063000841.0",1994968273,1358839,88995145,39130925838
"320",2021-04-25,"8458555336.0",1342277236,1199084,78528247,29547460946
"321",2021-04-27,"12961110463.0",1935800205,1308355,74080631,36033283794
"322",2021-05-10,"12255173750.0",1870522203,1149161,67590661,33455123746
"323",2021-05-12,"12681369897.0",1912392274,1135069,77691350,35700149503
"324",2021-05-27,"13212361349.0",1989554509,2033029,70945752,35281805651
"325",2021-05-30,"8457988587.0",1306716302,1853521,66724043,26711990784
"326",2021-06-11,"13394078293.0",2063438469,1907592,58932665,33062649948
"327",2021-06-16,"14484136663.0",2230136786,1842687,63435852,35028301853
"328",2021-06-20,"9026012339.0",1453370031,1816576,64850272,27215755776
"329",2021-06-28,"12874142933.0",1993463073,1849281,61826765,32346662055
"330",2021-07-18,"9179683149.0",1514033414,1972705,65496875,27327448801
"331",2021-07-22,"14277159416.0",2229925758,2110394,62324409,34892459988
"332",2021-07-23,"13697103982.0",2166469006,2137992,62733583,34198014655
"333",2021-07-25,"9085898191.0",1539463404,2082133,65818455,27429237320
"334",2021-07-26,"12780799566.0",2054744171,2096323,62193462,32432706050
"335",2021-07-30,"12307486530.0",1990149465,2194722,62692384,32018259536
"336",2021-08-02,"11083475278.0",1869260033,2049575,61776787,29873346721
"337",2021-08-04,"11347245010.0",1861760288,2141250,64068393,30397880617
"338",2021-08-16,"11055886063.0",1893561481,2440624,63689513,30130715402
"339",2021-08-26,"13041639484.0",2041371892,2741262,64601058,32687724858
"340",2021-09-12,"8910681797.0",1445697934,3216686,73115204,26921635536
"341",2021-09-16,"13714079846.0",2083869827,3452244,66506751,33328439715
"342",2021-09-17,"13123381856.0",2023532028,3493029,66418112,32634959840
"343",2021-09-30,"13453141554.0",2077538180,3898905,76208548,34393952308
"344",2021-10-08,"13072777611.0",2087688127,4206078,91581914,35858035895
"345",2021-10-10,"8761896920.0",1476540157,4064153,104647937,30397217145
"346",2021-10-16,"9957581871.0",1757615647,4406556,116481201,34002877450
"347",2021-10-23,"10031067270.0",1810094435,4590180,125959570,35274070000
"348",2021-11-09,"14374331487.0",2565488734,5255770,168463344,46790033389
"349",2021-11-23,"14750582827.0",2745422509,5699805,203840428,51520612991
"350",2021-11-24,"14761169939.0",2715487069,5654889,212866835,51774247875
"351",2021-11-28,"10192571988.0",2161185632,5763738,250288045,49210373861
"352",2021-12-04,"10839367447.0",2232030421,6097994,221003608,47372737530
"353",2021-12-06,"14383542304.0",2847131248,6222061,228677066,53818067384
"354",2021-12-14,"14861032640.0",2847689279,6435292,221145522,53363568605
"355",2021-12-24,"10373324078.0",2214259792,6346351,219343045,46783755451
"356",2021-12-28,"10794082662.0",2203011627,6101363,184028858,43417270395
"357",2022-01-12,"15082732665.0",3022870110,6225384,273975727,57415290724
"358",2022-01-16,"10362292102.0",2372231422,6149715,304225562,53378887093
"359",2022-01-29,"10971995104.0",2403019509,5901030,265488473,50621755827
"360",2022-02-06,"9799294209.0",2083256788,5580369,243416173,45826393334
"361",2022-02-07,"13831394863.0",2691295740,5595626,213703116,49203683728
"362",2022-02-10,"14393407248.0",2698879220,5674348,213359307,49724558707
"363",2022-02-13,"9743963573.0",2073994147,5457081,245288692,45400131253
"364",2022-03-11,"13561872791.0",2493230420,4942094,189208316,45116310185
"365",2022-03-16,"13951216726.0",2438439189,4633437,179930082,43579512905
"366",2022-03-25,"13036049659.0",2271703095,4258507,148685692,39236161464
"367",2022-03-29,"13455644203.0",2249961253,4108115,131362509,37885359124
"368",2022-04-04,"13664344634.0",2732211005,4272293,233497505,49556566589
"369",2022-04-13,"13405230371.0",2200702427,3601646,139093760,38122415850
"370",2022-04-15,"12615325508.0",2070892141,3461330,114044119,34647970060
"371",2022-05-03,"13269790270.0",2143699519,3065827,107212818,34480930425
